id,nombre_predio,comuna,latitud,longitud,nivel_importancia,hectareas
1983,PARCELA 8 SAN PEDRO LOTE B1-B Y B1-C,MULCHEN,-37.76657,-71.983876,BAJO,20.37
1984,HIJUELA LA SUERTE LOTE B1-A,SANTA BARBARA,-37.708903,-71.765897,BAJO,36.34
1985,PARCELA 10 ESTRELLA DE BIO BIO LOTE-B2A,SANTA BARBARA,-37.724662,-71.785145,BAJO,11.93
1986,LA SUERTE LOTES B2_F2 Y LOTE B2_H2,SANTA BARBARA,-37.709986,-71.772793,BAJO,20.77
1987,LOS LIRIOS II,NACIMIENTO,-37.485832,-72.80558,BAJO,35.16
1988,EL ZORZALITO,LONCOCHE,-39.302448,-72.852713,BAJO,33.22
1989,LA PITRA,LUMACO,-38.191375,-73.113555,MEDIO,15.08
1990,EL ESFUERZO,LUMACO,-38.195205,-73.113006,MEDIO,17.09
1991,CHARROCURA,TIRUA,-38.276717,-73.255933,ALTO,87.93
1992,LA CAPILLA,LUMACO,-38.325486,-73.166584,MEDIO,25.31
1993,NAHUELCO LOTE 2,PUREN,-38.083877,-73.047152,BAJO,33.15
1994,SANTA BRUNILDA,LUMACO,-38.332354,-72.944511,MEDIO,21.26
1995,SANTA TEOFILA,LUMACO,-38.332287,-72.938968,MEDIO,44.3
1996,LOMA LARGA,LUMACO,-38.36321,-73.039197,MEDIO,34.5
1997,LA FLORIDA I Y II,LUMACO,-38.295834,-73.130103,MEDIO,65.24
1998,EL FIO,LUMACO,-38.314769,-73.150222,MEDIO,16.29
1999,HIJUELA 8 CURIHUE,MARIQUINA,-39.329778,-72.851456,BAJO,28.76
2000,P1 CAMPO LINDO,MULCHEN,-37.814791,-72.163687,MEDIO,41.51
2001,SANTA VIRGINIA,EL CARMEN,-36.964455,-71.7594,BAJO,27.99
2002,SANTA ADELAIDA,NACIMIENTO,-37.359833,-72.807075,MEDIO,51.62
2003,ANCUD Y OTROS,QUILACO,-37.706948,-72.006046,BAJO,493.63
2004,MIRAFLORES Y CERROPIEDRA,QUILLECO,-37.519645,-71.900869,BAJO,30.38
2005,HIJUELA LOS ALAMOS L-A Y L-B1,LOS ANGELES,-37.275572,-72.139,BAJO,27.55
2006,PARCELA.20 TIERRAS PARA CHILE LOTE 1,QUILACO,-37.674846,-72.102027,BAJO,32.82
